Years	Total	Insecticide	Fungicide	Herbicide	Acaricide	Rodenticide+	Others*
2006	45376	7628	19900	6956	902	3	9987
2007	48716	21046	16707	6669	966	51	3277
2008	38836	9251	16707	6177	737	351	5613
2009	37651	9914	17863	5961	1533	78	2302
2010	38555	7176	17396	7452	1040	147	5344
2011	39534	6120	17546	7407	1062	421	6978
2012	42611	7264	18124	7351	859	247	8766
2013	39440	7741	16248	7336	858	129	7128
2014	39723	7586	16674	7794	1513	149	6007
2015	39026	8117	15984	7825	1576	197	5327
2016	50054	10425	20485	10025	2025	259	6835
2017	54098	11436	22006	11759	2452	236	6209
2018	60020	13583	23047	14794	2486	309	5801
2019	51297	11609	19698	12644	2124	264	4958
2020	53672	12347	20600	13250	2200	280	4995
2021	52965	11071	19098	13320	2342	283	6851
